Histogram1,Histogram2,Histogram3,Histogram4,Histogram5,Histogram6,Histogram7,Histogram8,Histogram9,Histogram10,Histogram11,Histogram12,Histogram13,Histogram14,Histogram15,Histogram16,Score
785,2202,3074,1527,2040,3273,12004,14226,3430,3644,3091,2002,281,86,51,34,2
0,0,1,120,2175,22617,15939,5919,709,571,1342,799,60,23,19,13,2
48,1698,27016,18167,681,892,1168,1239,637,132,62,10,0,0,0,0,0
322,8708,16438,3781,3812,6596,5375,2690,1074,742,485,335,230,229,298,635,1
0,9,2473,12219,14973,6200,3180,2964,2182,1461,1192,890,609,507,650,2241,0
0,0,0,0,2,13,57,819,3504,6079,7793,7251,7033,6209,5616,7374,2
19,327,4664,18134,19225,6609,1531,563,210,108,72,59,64,70,80,15,-1
0,4,34,281,496,541,734,2746,4341,4330,4911,5950,7344,6925,6217,6896,1
0,4,34,281,496,541,734,2746,4341,4330,4911,5950,7344,6925,6217,6896,1
0,4,34,281,496,541,734,2746,4341,4330,4911,5950,7344,6925,6217,6896,1
0,35,66,131,1175,2518,1693,6323,17352,14438,2892,841,880,808,764,391,0
0,0,6,11614,35538,2448,106,110,143,393,999,376,16,1,0,0,1
0,1420,2087,7089,16154,15581,7515,1389,440,69,4,1,1,0,0,0,1
5013,8768,30663,6546,457,155,39,30,20,18,12,9,11,8,1,0,0
1,3470,12629,3579,2088,2182,11170,9185,4041,1334,116,101,103,81,115,1555,2
8,166,764,1377,1370,1447,1889,2243,7048,18526,13235,1929,675,344,183,546,3
0,1616,3411,2276,4288,4535,10585,18620,5457,372,45,39,25,32,59,390,1
3,106,1075,320,292,510,2576,21296,20450,2341,1738,838,156,42,7,0,2
63,1419,6634,19935,14292,3942,1320,1121,1093,473,15,0,0,0,0,0,0
776,382,138,163,310,3516,9072,5505,1695,3920,6234,6627,5172,4259,2742,1239,-1
494,9709,3239,1738,1078,796,597,650,664,528,473,718,1887,2552,3342,21842,3
428,703,240,161,156,262,500,1047,1219,2846,4007,4341,8297,13286,11465,2792,3
7,166,601,16484,19692,5327,2217,1106,800,733,514,542,705,944,1071,841,2
1,82,391,1043,1630,1193,914,1602,4179,4773,5196,5704,5974,5705,5539,7824,-1
3299,2944,616,278,211,279,634,2230,6325,12316,12607,5295,2137,532,165,439,0
3299,2944,616,278,211,279,634,2230,6325,12316,12607,5295,2137,532,165,439,-1
0,0,6,8284,37332,5243,99,58,33,48,50,95,378,123,1,0,-1
2296,15207,13381,540,495,462,657,1753,5075,4131,2994,2128,887,243,52,6,0
7,13817,11362,2239,1187,1029,2193,3980,4606,4265,4212,1074,144,127,148,1360,3
0,1,136,198,435,745,1644,3916,11705,15654,9813,4372,1483,460,304,884,2
1337,1046,1839,30854,15333,188,134,169,306,385,129,18,8,3,1,0,3
0,0,0,7,8930,9895,6214,22817,3785,78,14,6,3,1,0,0,1
8461,13586,4197,1305,555,387,846,1654,2185,3127,5566,4529,2730,776,201,202,0
0,5529,13860,2350,1154,1379,7285,5226,3907,3574,3459,2255,218,119,121,1314,0
2,151,172,46,22,28,417,4733,11032,12045,8876,5710,3822,2162,1277,1255,2
2,151,172,46,22,28,417,4733,11032,12045,8876,5710,3822,2162,1277,1255,1
0,3895,7031,4430,3291,2732,3138,3987,8881,10511,2114,254,42,1,0,0,0
0,30,278,601,858,1020,13120,29088,4502,605,356,242,272,218,174,386,3
8585,5250,2142,971,6087,17714,8430,817,192,65,7,8,5,7,10,17,3
0,0,1,33,139,541,9003,23029,15647,1261,253,174,120,132,137,1280,2
0,1592,5549,2415,1500,1108,858,842,776,861,3184,9264,10487,6780,3022,3512,2
4,1522,1361,1060,1491,4438,10345,8223,8840,6004,2736,1852,1473,880,338,645,1
8,1241,16249,4772,3124,2701,2135,1707,1664,2373,6395,5674,2055,837,515,300,1
0,10,628,4226,7939,9907,10926,7762,2009,838,526,509,518,632,1040,4280,0
1176,10224,15373,4020,3085,6981,7150,3367,257,33,21,12,12,12,5,22,0
8777,11153,25754,2849,244,730,413,236,33,9,4,2,5,2,8,88,1
0,7,10955,4869,2386,3367,10068,13028,5683,737,96,55,57,60,59,323,2
12690,19329,8136,3337,619,470,404,282,83,47,42,46,56,104,167,4495,0
12017,8394,2992,8641,8677,6024,1742,561,800,725,403,225,195,188,133,33,-1
0,318,473,317,516,1134,1971,2528,8838,15591,11698,3169,1109,908,736,1001,3
12,3210,1882,2695,3000,20182,15471,2032,414,367,902,140,0,0,0,0,0
0,4,319,26573,22905,342,145,120,147,142,128,319,479,123,4,0,0
0,6,34,291,1998,40290,5479,1049,784,466,332,220,393,121,84,203,0
164,1561,12282,30402,2754,548,944,1045,1307,474,155,57,46,11,0,0,2
0,0,0,0,8231,6691,5334,26687,4699,81,20,4,2,1,0,0,1
6,1497,1145,1133,995,2009,4588,8649,7796,8120,6118,2903,2122,1803,1300,1028,1
0,4,18,68,283,1731,12900,21378,11477,2511,647,113,72,73,97,378,1
0,0,4,6480,38132,3688,159,141,191,474,1298,1107,75,1,0,0,3
0,27,382,1331,2206,2310,3488,13227,16688,8279,1866,370,119,104,134,1219,1
1537,4161,3400,1888,7668,1763,872,1311,2794,2483,2100,2729,5191,6309,4019,3525,2
0,4,698,13594,8680,3462,2011,1256,938,687,531,496,575,602,880,17336,3
0,0,5,217,1449,3781,3066,1804,1764,3487,5051,6360,6549,6326,4471,7420,0
0,0,26,149,9720,32635,7526,383,185,105,123,224,447,201,26,0,0
4563,2506,7056,20707,15788,1013,49,37,19,6,4,1,1,0,0,0,0
96,1435,1157,331,4557,15665,9109,13465,1553,978,1625,1544,201,23,7,4,-1
379,596,114,101,188,231,447,772,1093,2600,3877,4104,6771,12146,13190,5141,0
180,796,1125,718,926,1318,7523,9992,8666,5229,4315,5554,3924,681,102,163,0
5,77,388,500,875,1860,3915,19355,20822,2293,533,192,97,85,93,660,2
2087,4408,12102,521,423,678,6389,17438,6083,414,59,54,29,41,96,928,1
0,4,32,96,272,326,517,756,1864,4741,5976,6299,6487,6098,5288,12994,1
0,383,297,270,11829,24601,5429,2280,1579,1112,845,649,493,204,178,158,0
24,534,2105,3258,2906,3309,3299,3053,3532,7962,12182,6968,2289,229,67,33,2
0,0,17,146,1000,2893,2401,1680,1638,2549,4481,6122,6793,6756,6575,8699,0
0,12,433,28266,20773,566,190,168,323,686,326,7,0,0,0,0,2
3748,10897,1615,1233,1402,9063,3829,3698,8158,2340,1225,1299,917,433,122,328,0
1135,12693,1412,198,164,217,4439,16266,11255,1509,287,330,937,843,56,9,0
5,343,4687,8416,1832,1579,2241,3166,5727,9430,6436,3193,1790,974,489,1442,2
0,1,9,78,380,1336,2204,3544,15354,17729,6928,2401,319,154,149,1164,1
0,20,1652,2090,1718,1272,1156,1284,1546,1660,1553,1208,1134,1501,3266,29247,-1
0,0,7,214,10190,31251,7933,368,222,139,259,378,560,212,17,0,1
13238,19780,8397,3603,474,350,345,210,108,61,73,61,72,103,156,3276,-1
1560,2360,10946,4486,2153,3160,3185,1381,2013,5783,6444,2309,899,482,635,3954,0
7,309,366,115,50,1210,11361,22895,10383,1019,164,132,170,905,459,2205,-1
0,0,0,0,0,0,4,123,1214,3577,6425,7151,7365,6221,5096,14574,0
628,2162,11002,10247,3201,609,908,1980,3907,5944,5904,3433,1263,262,94,206,0
2157,4337,4567,1893,4248,1423,969,1124,2074,2390,2587,2624,4030,6970,6138,4219,1
92,16156,30859,1355,513,1089,1337,223,44,68,14,0,0,0,0,0,-1
0,0,0,186,4132,27777,16933,993,105,126,151,182,358,298,333,176,-1
174,4270,2766,2906,2254,1173,1844,2904,2981,2101,2448,3919,5004,5521,5211,6274,0
1,1646,1322,671,498,1031,1584,1388,1414,1487,1837,2571,3625,5262,8186,17784,1
2146,8624,21425,4536,1699,1027,680,588,713,1062,2830,3096,1362,605,548,809,-1
12,336,455,154,72,1402,10742,22717,9794,999,206,176,216,1397,537,2535,-1
3,505,1605,1002,4284,13472,14028,10209,5986,104,43,40,49,57,92,271,2
161,7260,34708,8767,617,96,46,26,24,26,14,5,0,0,0,0,0
12,1584,1646,3650,29434,10513,1710,138,109,82,60,66,101,91,64,2490,0
0,0,19,19259,29419,1391,163,175,157,113,252,505,274,23,0,0,3
7574,6863,2654,6075,12521,8489,3230,858,593,759,658,414,213,186,216,447,1
1154,1807,1130,791,538,512,4428,27619,13060,708,3,0,0,0,0,0,1
1697,2967,318,430,1637,2603,11309,21626,4870,1208,927,484,168,52,10,1,3
0,0,0,140,10744,31520,7494,325,254,144,175,327,464,148,15,0,2
